age, workclass, fnlwgt, education, education-num, marital-status, occupation, relationship, race, sex, capital-gain, capital-loss, hours-per-week, native-country, salary
37, Private, 160120, Masters, 14, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male, 0, 0, 40, South, <=50K
26, Private, 523067, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 3, El-Salvador, <=50K
63, ?, 186809, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 30, United-States, >50K
46, Self-emp-not-inc, 320421, Bachelors, 13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male, 0, 0, 25, United-States, <=50K
34, Private, 158800, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
31, Private, 131568, 9th, 5, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
46, Private, 213408, Some-college, 10, Divorced, Sales, Unmarried, White, Female, 0, 0, 40, Cuba, <=50K
49, Private, 170871, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
59, Private, 175689, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 14, Cuba, >50K
45, Private, 205100, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 60, United-States, >50K
58, Private, 281792, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
40, Private, 224799, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
53, Private, 193720, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 40, United-States, >50K
20, Private, 174685, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
43, Self-emp-not-inc, 152958, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 35, United-States, >50K
46, Private, 155489, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
18, Private, 182042, 11th, 7, Never-married, Other-service, Own-child, White, Female, 0, 0, 19, United-States, <=50K
54, Private, 234938, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 4064, 0, 55, United-States, <=50K
46, Private, 315423, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 2042, 50, United-States, <=50K
27, Self-emp-not-inc, 30244, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 80, United-States, <=50K
50, Local-gov, 30008, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, >50K
19, Private, 418176, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, Black, Male, 0, 0, 32, United-States, <=50K
54, Self-emp-inc, 99185, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, ?, >50K
33, Private, 245777, HS-grad, 9, Divorced, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 169092, HS-grad, 9, Divorced, Sales, Not-in-family, White, Female, 0, 0, 55, United-States, <=50K
50, Local-gov, 154779, Some-college, 10, Divorced, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
36, Private, 301614, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 193820, Bachelors, 13, Never-married, Sales, Not-in-family, White, Female, 0, 1876, 40, United-States, <=50K
58, Private, 222247, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 1887, 40, United-States, >50K
47, Private, 217509, HS-grad, 9, Widowed, Priv-house-serv, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 45, Thailand, <=50K
40, Private, 337456, HS-grad, 9, Divorced, Protective-serv, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
55, Private, 172666, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
45, Local-gov, 153312, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 10, United-States, >50K
23, Private, 274797, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 25, United-States, <=50K
31, Private, 359249, Assoc-voc, 11, Never-married, Protective-serv, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
22, Private, 152744, Some-college, 10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, Philippines, <=50K
49, State-gov, 354529, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
22, Private, 249727, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 30, United-States, <=50K
47, Private, 303637, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 49, United-States, >50K
44, Private, 242861, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
32, Self-emp-not-inc, 56328, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 8, United-States, >50K
40, Private, 266084, Some-college, 10, Divorced, Craft-repair, Other-relative, White, Male, 0, 0, 50, United-States, <=50K
47, Private, 166634, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, Germany, <=50K
33, Private, 104509, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
62, Private, 88055, Bachelors, 13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
18, ?, 264924, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
46, Private, 128796, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 44, United-States, >50K
52, Private, 190333, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
49, Private, 218676, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 43, United-States, <=50K
27, ?, 180553, HS-grad, 9, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 40, United-States, >50K
46, Self-emp-inc, 328216, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 1902, 42, ?, >50K
40, Local-gov, 24763, Some-college, 10, Divorced, Transport-moving, Unmarried, White, Male, 6849, 0, 40, United-States, <=50K
30, Private, 70377, Some-college, 10, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
40, Private, 96129, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 72, United-States, >50K
58, Private, 220789, Bachelors, 13, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
33, Private, 101345, HS-grad, 9, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 42, Canada, >50K
40, Self-emp-inc, 64885, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 70, United-States, >50K
43, Private, 153160, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, <=50K
27, State-gov, 146243, Some-college, 10, Separated, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
52, Local-gov, 192563, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
27, Private, 244315, HS-grad, 9, Divorced, Craft-repair, Other-relative, Other, Male, 0, 0, 40, United-States, <=50K
60, Private, 25141, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K
28, Private, 405793, Assoc-acdm, 12, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 45, United-States, >50K
47, Federal-gov, 53498, HS-grad, 9, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
38, Private, 123031, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male, 0, 0, 48, Trinadad&Tobago, <=50K
21, Self-emp-not-inc, 409230, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 30, United-States, <=50K
38, ?, 129150, 10th, 6, Separated, ?, Own-child, White, Male, 0, 0, 35, United-States, <=50K
47, Self-emp-not-inc, 119199, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 35, United-States, >50K
42, Private, 46221, Doctorate, 16, Married-spouse-absent, Other-service, Not-in-family, White, Male, 27828, 0, 60, ?, >50K
56, Private, 174533, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
49, Private, 200471, 11th, 7, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
65, Private, 155261, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
35, ?, 119006, HS-grad, 9, Widowed, ?, Own-child, White, Female, 0, 0, 38, United-States, <=50K
48, ?, 184513, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 80, United-States, >50K
33, Self-emp-not-inc, 124187, Assoc-acdm, 12, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 32, United-States, <=50K
30, Private, 190823, Some-college, 10, Never-married, Other-service, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
53, Private, 213378, HS-grad, 9, Separated, Sales, Not-in-family, White, Female, 0, 0, 33, United-States, <=50K
43, Local-gov, 209899, Masters, 14, Never-married, Tech-support, Not-in-family, Black, Female, 8614, 0, 47, United-States, >50K
41, Private, 187881, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 3942, 0, 40, United-States, <=50K
55, Private, 234125, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
58, Self-emp-not-inc, 195835, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
37, Private, 343721, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
55, Private, 174478, 10th, 6, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 29, United-States, <=50K
53, Private, 251675, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, El-Salvador, <=50K
60, Private, 128367, Some-college, 10, Divorced, Prof-specialty, Unmarried, White, Male, 3325, 0, 42, United-States, <=50K
32, Private, 37380, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
49, Private, 353824, Some-college, 10, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 45, United-States, >50K
24, State-gov, 147147, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 20, United-States, <=50K
34, Local-gov, 188682, Bachelors, 13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
41, Private, 277192, 5th-6th, 3, Married-civ-spouse, Farming-fishing, Wife, White, Female, 0, 0, 40, Mexico, <=50K
43, Private, 220776, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 35, United-States, >50K
31, Local-gov, 189269, HS-grad, 9, Never-married, Protective-serv, Own-child, White, Male, 0, 0, 40, United-States, <=50K
42, Private, 154374, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 2415, 60, United-States, >50K
51, Private, 251487, 7th-8th, 4, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, <=50K
24, Private, 53942, Bachelors, 13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 113481, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
46, Private, 330087, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, >50K
43, Private, 252519, Bachelors, 13, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, Haiti, >50K
39, Private, 43712, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 40, United-States, >50K
44, Private, 120057, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 4386, 0, 45, United-States, >50K
57, Private, 121821, 1st-4th, 2, Married-civ-spouse, Other-service, Husband, Other, Male, 0, 0, 40, Dominican-Republic, <=50K
37, Local-gov, 365430, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, Canada, >50K
37, State-gov, 191841, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 8614, 0, 40, United-States, >50K
49, Self-emp-not-inc, 355978, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 99999, 0, 35, United-States, >50K
37, Local-gov, 144322, Assoc-voc, 11, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 43, United-States, <=50K
70, Self-emp-not-inc, 155141, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 2377, 12, United-States, >50K
58, State-gov, 198145, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 35, United-States, >50K
20, Private, 32426, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 25, United-States, <=50K
51, Private, 98791, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
37, Private, 203828, 9th, 5, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 65, United-States, <=50K
22, State-gov, 186634, 12th, 8, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
26, Private, 247455, Bachelors, 13, Married-civ-spouse, Sales, Wife, White, Female, 5178, 0, 42, United-States, >50K
19, Private, 97215, Some-college, 10, Separated, Sales, Unmarried, White, Female, 0, 0, 25, United-States, <=50K
27, Private, 156266, HS-grad, 9, Never-married, Sales, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 20, United-States, <=50K
36, Private, 183081, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
24, Private, 585203, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 7688, 0, 45, United-States, >50K
52, Private, 162576, Assoc-acdm, 12, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
18, Private, 120781, 10th, 6, Never-married, Other-service, Own-child, White, Male, 0, 0, 20, United-States, <=50K
46, Private, 205504, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K
62, Private, 159908, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 38, United-States, >50K
49, Private, 40000, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 4064, 0, 44, United-States, <=50K
24, Private, 261561, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 81057, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
64, Private, 265661, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 29510, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K
24, Private, 194604, Bachelors, 13, Never-married, Sales, Own-child, White, Female, 0, 0, 15, United-States, <=50K
44, Private, 307468, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 29, United-States, >50K
44, Local-gov, 107845, Assoc-acdm, 12, Divorced, Protective-serv, Not-in-family, White, Female, 0, 0, 56, United-States, >50K
47, Private, 114754, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 235124, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 99999, 0, 40, United-States, >50K
44, Self-emp-not-inc, 264740, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
34, Private, 189759, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 45, United-States, >50K
39, Private, 230467, Bachelors, 13, Never-married, Sales, Own-child, White, Male, 0, 1092, 40, Germany, <=50K
34, Private, 344073, HS-grad, 9, Separated, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
61, Private, 40269, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
67, ?, 243256, 9th, 5, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 15, United-States, <=50K
42, Private, 250536, Some-college, 10, Separated, Other-service, Unmarried, Black, Female, 0, 0, 21, Haiti, <=50K
49, Federal-gov, 105586, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, >50K
58, Private, 51499, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
55, Private, 249072, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K
49, Private, 28334, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
17, Private, 52967, 10th, 6, Never-married, Other-service, Own-child, White, Female, 0, 0, 6, United-States, <=50K
30, Self-emp-inc, 185384, Some-college, 10, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 25, United-States, <=50K
44, Local-gov, 83286, Masters, 14, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, >50K
20, Private, 224217, HS-grad, 9, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
52, Federal-gov, 279337, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Local-gov, 251396, Assoc-acdm, 12, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, Canada, >50K
25, Private, 57635, Assoc-voc, 11, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 42, United-States, >50K
63, Private, 28334, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
64, State-gov, 216160, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, Columbia, >50K
50, Self-emp-inc, 204447, Some-college, 10, Divorced, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
67, Private, 35015, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 99, United-States, <=50K
29, Private, 197932, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Wife, White, Female, 0, 0, 40, Mexico, >50K
37, Private, 249720, Bachelors, 13, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 27, United-States, <=50K
29, Self-emp-not-inc, 190636, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, 0, 1485, 60, United-States, >50K
17, Private, 293440, 11th, 7, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 15, United-States, <=50K
53, Private, 145409, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K
22, Private, 213902, 5th-6th, 3, Never-married, Priv-house-serv, Other-relative, White, Female, 0, 0, 40, El-Salvador, <=50K
61, Self-emp-not-inc, 96073, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, England, >50K
51, Federal-gov, 160703, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
61, Private, 119986, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, ?, >50K
37, Private, 227545, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 44, United-States, >50K
36, Private, 32776, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 40, United-States, >50K
23, Private, 84648, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 25, United-States, <=50K
47, Local-gov, 285060, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 41, United-States, >50K
55, Self-emp-inc, 209569, HS-grad, 9, Divorced, Sales, Unmarried, White, Female, 0, 0, 50, United-States, >50K
22, Private, 121471, 11th, 7, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
59, Private, 271571, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 15024, 0, 50, United-States, >50K
30, Private, 241583, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 214993, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
50, Local-gov, 199995, Bachelors, 13, Divorced, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
38, Private, 450924, 12th, 8, Married-civ-spouse, Other-service, Husband, White, Male, 3942, 0, 40, United-States, <=50K
76, Private, 93125, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 1424, 0, 24, United-States, <=50K
37, Private, 251396, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 65, United-States, >50K
49, Private, 151584, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
44, Private, 193882, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
34, Private, 242460, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 40, United-States, >50K
30, Private, 149118, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
44, Private, 85604, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
33, Self-emp-not-inc, 361497, HS-grad, 9, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 345277, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
22, Private, 309178, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, <=50K
43, Federal-gov, 325706, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 50, India, >50K
63, Private, 213945, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 15024, 0, 40, Iran, >50K
32, Private, 130057, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, >50K
48, Self-emp-not-inc, 362883, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 60, United-States, >50K
40, Private, 294708, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, >50K
47, Private, 332727, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
41, Private, 116103, HS-grad, 9, Widowed, Exec-managerial, Other-relative, White, Male, 914, 0, 40, United-States, <=50K
29, Private, 24153, Some-college, 10, Married-civ-spouse, Other-service, Wife, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, <=50K
40, Private, 273425, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
26, Private, 114483, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
46, Local-gov, 111558, Some-college, 10, Divorced, Machine-op-inspct, Own-child, White, Female, 0, 0, 40, United-States, <=50K
41, State-gov, 170924, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
67, ?, 274451, 7th-8th, 4, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 186489, 9th, 5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 46, United-States, <=50K
64, Private, 61892, HS-grad, 9, Widowed, Priv-house-serv, Not-in-family, White, Female, 0, 0, 15, United-States, <=50K
34, Self-emp-not-inc, 175697, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 75, United-States, <=50K
38, Private, 80303, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, >50K
37, Private, 126743, 1st-4th, 2, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 53, Mexico, <=50K
39, Private, 301568, Some-college, 10, Divorced, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
54, Private, 257337, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
49, Self-emp-inc, 213354, Masters, 14, Separated, Exec-managerial, Not-in-family, White, Male, 0, 0, 70, United-States, >50K
51, Private, 124963, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
29, Private, 158218, HS-grad, 9, Never-married, Farming-fishing, Unmarried, White, Male, 0, 0, 35, United-States, <=50K
68, Private, 138714, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
56, Private, 231781, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
49, Private, 105449, Bachelors, 13, Never-married, Priv-house-serv, Not-in-family, White, Male, 0, 0, 25, United-States, <=50K
28, Private, 154571, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, <=50K
28, Private, 34335, HS-grad, 9, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo, Male, 14084, 0, 40, United-States, >50K
49, Private, 59380, Some-college, 10, Married-spouse-absent, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
39, Self-emp-inc, 126675, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 25, United-States, <=50K
33, Self-emp-inc, 281832, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, Cuba, >50K
50, Local-gov, 97449, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 48, United-States, <=50K
32, Private, 339773, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
31, Federal-gov, 210926, HS-grad, 9, Separated, Handlers-cleaners, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
42, Self-emp-not-inc, 170649, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, <=50K
52, Private, 204402, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 85, United-States, >50K
36, Private, 181065, Assoc-acdm, 12, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
38, Private, 179579, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, ?, >50K
50, Private, 237729, HS-grad, 9, Widowed, Sales, Not-in-family, White, Female, 0, 2444, 72, United-States, >50K
28, Private, 137898, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 208378, 12th, 8, Separated, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
58, Private, 225603, 9th, 5, Divorced, Farming-fishing, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
